Border,Date,Measure,Value,Average
US-Mexico Border,03/01/2019 00:00:00,Buses,476663,431121
US-Canada Border,03/01/2019 00:00:00,Truck Containers Empty,2243408,2058512
US-Canada Border,03/01/2019 00:00:00,Trains,61172,57875
US-Mexico Border,03/01/2019 00:00:00,Personal Vehicle Passengers,348066133,320260076
US-Canada Border,03/01/2019 00:00:00,Personal Vehicle Passengers,118739474,98843422
US-Mexico Border,03/01/2019 00:00:00,Trucks,10197316,9278494
US-Canada Border,03/01/2019 00:00:00,Personal Vehicles,57433157,49552525
US-Canada Border,03/01/2019 00:00:00,Truck Containers Full,9532772,8595192
US-Mexico Border,03/01/2019 00:00:00,Truck Containers Full,6593138,5894594
US-Mexico Border,03/01/2019 00:00:00,Pedestrians,97376779,86796470
US-Canada Border,03/01/2019 00:00:00,Pedestrians,575698,438844
US-Canada Border,03/01/2019 00:00:00,Rail Containers Full,2780977,2529408
US-Mexico Border,03/01/2019 00:00:00,Bus Passengers,6087266,5221560
US-Canada Border,03/01/2019 00:00:00,Bus Passengers,4739426,4128852
US-Mexico Border,03/01/2019 00:00:00,Rail Containers Empty,777047,717543
US-Mexico Border,03/01/2019 00:00:00,Train Passengers,25392,22892
US-Mexico Border,03/01/2019 00:00:00,Personal Vehicles,162566003,149886469
US-Mexico Border,03/01/2019 00:00:00,Truck Containers Empty,3423213,3262459
US-Mexico Border,03/01/2019 00:00:00,Rail Containers Full,714166,598692
US-Mexico Border,03/01/2019 00:00:00,Trains,17965,16702
US-Mexico Border,02/01/2019 00:00:00,Personal Vehicle Passengers,304369223,336150930
US-Canada Border,02/01/2019 00:00:00,Buses,186423,186902
US-Canada Border,02/01/2019 00:00:00,Truck Containers Full,8438781,8751604
US-Mexico Border,02/01/2019 00:00:00,Truck Containers Full,5894952,5894236
US-Canada Border,02/01/2019 00:00:00,Train Passengers,284285,307508
US-Canada Border,02/01/2019 00:00:00,Bus Passengers,4204623,4053081
US-Canada Border,02/01/2019 00:00:00,Truck Containers Empty,2015766,2101259
US-Mexico Border,02/01/2019 00:00:00,Truck Containers Empty,3159459,3365459
US-Canada Border,02/01/2019 00:00:00,Trucks,11506320,11815186
US-Canada Border,02/01/2019 00:00:00,Personal Vehicle Passengers,97774355,99912490
US-Mexico Border,02/01/2019 00:00:00,Trucks,9192645,9364344
US-Canada Border,02/01/2019 00:00:00,Personal Vehicles,48786390,50318660
US-Canada Border,02/01/2019 00:00:00,Rail Containers Empty,954254,993536
US-Canada Border,02/01/2019 00:00:00,Rail Containers Full,2476578,2582239
US-Canada Border,02/01/2019 00:00:00,Trains,57053,58697
US-Mexico Border,02/01/2019 00:00:00,Pedestrians,85255768,88337171
US-Mexico Border,02/01/2019 00:00:00,Bus Passengers,4714270,5728850
US-Mexico Border,02/01/2019 00:00:00,Rail Containers Full,626504,570881
US-Canada Border,02/01/2019 00:00:00,Pedestrians,447167,430522
US-Mexico Border,02/01/2019 00:00:00,Personal Vehicles,144225690,155547248
US-Mexico Border,02/01/2019 00:00:00,Buses,411105,451137
US-Mexico Border,02/01/2019 00:00:00,Rail Containers Empty,684283,750803
US-Mexico Border,02/01/2019 00:00:00,Trains,16412,16991
US-Mexico Border,02/01/2019 00:00:00,Train Passengers,22320,23464
US-Canada Border,01/01/2019 00:00:00,Truck Containers Empty,2101259,0
US-Canada Border,01/01/2019 00:00:00,Personal Vehicle Passengers,99912490,0
US-Mexico Border,01/01/2019 00:00:00,Buses,451137,0
US-Mexico Border,01/01/2019 00:00:00,Trucks,9364344,0
US-Mexico Border,01/01/2019 00:00:00,Rail Containers Empty,750803,0
US-Mexico Border,01/01/2019 00:00:00,Rail Containers Full,570881,0
US-Canada Border,01/01/2019 00:00:00,Train Passengers,307508,0
US-Canada Border,01/01/2019 00:00:00,Rail Containers Full,2582239,0
US-Canada Border,01/01/2019 00:00:00,Pedestrians,430522,0
US-Canada Border,01/01/2019 00:00:00,Personal Vehicles,50318660,0
US-Mexico Border,01/01/2019 00:00:00,Personal Vehicles,155547248,0
US-Mexico Border,01/01/2019 00:00:00,Bus Passengers,5728850,0
US-Canada Border,01/01/2019 00:00:00,Buses,186902,0
US-Mexico Border,01/01/2019 00:00:00,Personal Vehicle Passengers,336150930,0
US-Canada Border,01/01/2019 00:00:00,Truck Containers Full,8751604,0
US-Canada Border,01/01/2019 00:00:00,Rail Containers Empty,993536,0
US-Canada Border,01/01/2019 00:00:00,Trains,58697,0
US-Canada Border,01/01/2019 00:00:00,Trucks,11815186,0
US-Canada Border,01/01/2019 00:00:00,Bus Passengers,4053081,0
US-Mexico Border,01/01/2019 00:00:00,Pedestrians,88337171,0
US-Mexico Border,01/01/2019 00:00:00,Trains,16991,0
US-Mexico Border,01/01/2019 00:00:00,Truck Containers Full,5894236,0
US-Mexico Border,01/01/2019 00:00:00,Truck Containers Empty,3365459,0
US-Mexico Border,01/01/2019 00:00:00,Train Passengers,23464,0
US-Canada Border,12/01/2019 00:00:00,Buses,181010,269355
US-Canada Border,12/01/2019 00:00:00,Pedestrians,574733,1161687
US-Canada Border,12/01/2019 00:00:00,Trucks,10289794,12265924
US-Canada Border,12/01/2019 00:00:00,Rail Containers Empty,944148,1072220
US-Mexico Border,12/01/2019 00:00:00,Trucks,8536362,9643120
US-Mexico Border,12/01/2019 00:00:00,Pedestrians,95845022,87289969
US-Canada Border,12/01/2019 00:00:00,Truck Containers Full,7648688,9190726
US-Canada Border,12/01/2019 00:00:00,Personal Vehicles,53098004,63487286
US-Canada Border,12/01/2019 00:00:00,Truck Containers Empty,1795361,2145808
US-Canada Border,12/01/2019 00:00:00,Personal Vehicle Passengers,108920379,132724502
US-Mexico Border,12/01/2019 00:00:00,Personal Vehicle Passengers,344389236,331091257
US-Canada Border,12/01/2019 00:00:00,Rail Containers Full,2490691,2629876
US-Mexico Border,12/01/2019 00:00:00,Buses,477921,459023
US-Mexico Border,12/01/2019 00:00:00,Personal Vehicles,156312251,154853949
US-Canada Border,12/01/2019 00:00:00,Train Passengers,333188,525858
US-Canada Border,12/01/2019 00:00:00,Bus Passengers,4318165,6469543
US-Mexico Border,12/01/2019 00:00:00,Rail Containers Full,609153,679813
US-Mexico Border,12/01/2019 00:00:00,Truck Containers Empty,3057499,3383176
US-Mexico Border,12/01/2019 00:00:00,Truck Containers Full,5196313,6173127
US-Canada Border,12/01/2019 00:00:00,Trains,55300,59786
US-Mexico Border,12/01/2019 00:00:00,Bus Passengers,6041615,5739215
US-Mexico Border,12/01/2019 00:00:00,Rail Containers Empty,742349,759892
US-Mexico Border,12/01/2019 00:00:00,Train Passengers,21864,24612
US-Mexico Border,12/01/2019 00:00:00,Trains,16313,17500
US-Mexico Border,11/01/2019 00:00:00,Pedestrians,85320275,87486939
US-Canada Border,11/01/2019 00:00:00,Personal Vehicle Passengers,108660210,135130932
US-Canada Border,11/01/2019 00:00:00,Trains,57997,59965
US-Canada Border,11/01/2019 00:00:00,Personal Vehicles,54003931,64435621
US-Canada Border,11/01/2019 00:00:00,Truck Containers Empty,2015465,2158842
US-Canada Border,11/01/2019 00:00:00,Truck Containers Full,8910114,9218788
US-Canada Border,11/01/2019 00:00:00,Buses,205911,275699
US-Canada Border,11/01/2019 00:00:00,Trucks,11700095,12322507
US-Mexico Border,11/01/2019 00:00:00,Trucks,9085306,9698901
US-Mexico Border,11/01/2019 00:00:00,Personal Vehicle Passengers,316620923,332538290
US-Canada Border,11/01/2019 00:00:00,Bus Passengers,4905976,6625900
US-Mexico Border,11/01/2019 00:00:00,Truck Containers Empty,3231400,3398354
US-Mexico Border,11/01/2019 00:00:00,Personal Vehicles,147952416,155544103
US-Canada Border,11/01/2019 00:00:00,Rail Containers Full,2603561,2632507
US-Mexico Border,11/01/2019 00:00:00,Bus Passengers,4989668,5814170
US-Canada Border,11/01/2019 00:00:00,Pedestrians,614144,1216441
US-Mexico Border,11/01/2019 00:00:00,Rail Containers Empty,768966,758985
US-Mexico Border,11/01/2019 00:00:00,Trains,16626,17588
US-Mexico Border,11/01/2019 00:00:00,Truck Containers Full,5731553,6217284
US-Canada Border,11/01/2019 00:00:00,Train Passengers,296103,548833
US-Mexico Border,11/01/2019 00:00:00,Buses,441186,460807
US-Mexico Border,11/01/2019 00:00:00,Train Passengers,24061,24667
US-Mexico Border,11/01/2019 00:00:00,Rail Containers Full,640995,683695
US-Canada Border,11/01/2019 00:00:00,Rail Containers Empty,1030272,1076414
US-Canada Border,10/01/2019 00:00:00,Truck Containers Empty,2110344,2164231
US-Canada Border,10/01/2019 00:00:00,Bus Passengers,6536977,6635780
US-Canada Border,10/01/2019 00:00:00,Trucks,12462520,12306950
US-Canada Border,10/01/2019 00:00:00,Trains,60002,59960
US-Mexico Border,10/01/2019 00:00:00,Pedestrians,83710081,87906590
US-Mexico Border,10/01/2019 00:00:00,Truck Containers Empty,3442145,3393488
US-Canada Border,10/01/2019 00:00:00,Personal Vehicle Passengers,122778136,136503465
US-Canada Border,10/01/2019 00:00:00,Personal Vehicles,60454195,64878002
US-Canada Border,10/01/2019 00:00:00,Rail Containers Empty,1086677,1075274
US-Canada Border,10/01/2019 00:00:00,Rail Containers Full,2714167,2623434
US-Canada Border,10/01/2019 00:00:00,Buses,252407,278287
US-Mexico Border,10/01/2019 00:00:00,Buses,472912,459462
US-Canada Border,10/01/2019 00:00:00,Train Passengers,369420,568768
US-Canada Border,10/01/2019 00:00:00,Truck Containers Full,9475092,9190309
US-Mexico Border,10/01/2019 00:00:00,Personal Vehicle Passengers,317142786,334248902
US-Mexico Border,10/01/2019 00:00:00,Personal Vehicles,150745088,156077327
US-Mexico Border,10/01/2019 00:00:00,Trucks,9686185,9700314
US-Mexico Border,10/01/2019 00:00:00,Train Passengers,25641,24559
US-Mexico Border,10/01/2019 00:00:00,Bus Passengers,5251336,5876707
US-Canada Border,10/01/2019 00:00:00,Pedestrians,1198876,1218393
US-Mexico Border,10/01/2019 00:00:00,Truck Containers Full,6054576,6235363
US-Mexico Border,10/01/2019 00:00:00,Rail Containers Full,694364,682509
US-Mexico Border,10/01/2019 00:00:00,Rail Containers Empty,776010,757093
US-Mexico Border,10/01/2019 00:00:00,Trains,17506,17597
US-Canada Border,09/01/2019 00:00:00,Truck Containers Empty,2161296,2164598
US-Canada Border,09/01/2019 00:00:00,Personal Vehicle Passengers,137833851,136337166
US-Canada Border,09/01/2019 00:00:00,Trucks,12474451,12286012
US-Mexico Border,09/01/2019 00:00:00,Personal Vehicle Passengers,318689598,336193815
US-Canada Border,09/01/2019 00:00:00,Personal Vehicles,66724098,64647240
US-Canada Border,09/01/2019 00:00:00,Train Passengers,615541,562921
US-Canada Border,09/01/2019 00:00:00,Bus Passengers,7566770,6519406
US-Canada Border,09/01/2019 00:00:00,Rail Containers Empty,1088113,1073669
US-Mexico Border,09/01/2019 00:00:00,Truck Containers Full,5887827,6278804
US-Canada Border,09/01/2019 00:00:00,Trains,59404,60030
US-Mexico Border,09/01/2019 00:00:00,Trains,17577,17599
US-Mexico Border,09/01/2019 00:00:00,Buses,435486,462459
US-Canada Border,09/01/2019 00:00:00,Buses,309516,274384
US-Canada Border,09/01/2019 00:00:00,Truck Containers Full,9401281,9163938
US-Mexico Border,09/01/2019 00:00:00,Truck Containers Empty,3327720,3401709
