Border,Date,Measure,Value,Average
US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Full,6483,6483
US-Canada Border,03/01/2019 12:00:00 AM,Trains,19,19
US-Mexico Border,03/01/2019 12:00:00 AM,Pedestrians,346158,346158
US-Mexico Border,02/01/2019 12:00:00 AM,Pedestrians,172163,172163
US-Canada Border,02/01/2019 12:00:00 AM,Truck Containers Empty,1319,1319
US-Mexico Border,01/01/2019 12:00:00 AM,Pedestrians,56810,0
